Hyperparameter,DATETIME,DIRECTORY,EPSILON_DECAY,GAMES_PER_TRAINING_SESSION,GAME_LENGTH,GAME_STEP_TIME,GAMMA,GAMMA ,HIDDEN_LAYER_SIZE,LEARNING_RATE,MAX_EPSILON,MEMORY_SIZE,MIN_EPSILON,NO_HIDDEN_LAYERS,NUMBER_OF_TRAINING_SESSIONS,STARTING_VERSION
Values,2018-11-18_16:58:16,./trained_networks/2018-11-18_16:58:16,1e-06,1,120000,20,0.9990000000000001,,50,0.01,0.9990000000000001,60000,0.001,4,20,0
Values,2018-11-18_16:35:15,./trained_networks/2018-11-18_16:35:15,1e-06,1,120000,20,0.9990000000000001,,50,0.01,0.9990000000000001,60000,0.001,4,20,0
Values,2018-11-18_10:17:35,./trained_networks/2018-11-18_10:17:35,1e-06,25,120000,20,,0.9990000000000001,100,0.001,0.9990000000000001,60000,0.001,3,20,0
Values,2018-11-18_16:30:49,./trained_networks/2018-11-18_16:30:49,1e-06,1,120000,20,0.9990000000000001,,50,0.01,0.9990000000000001,60000,0.001,4,20,0
Values,2018-11-18_11:56:10,./trained_networks/2018-11-18_11:56:10,1e-06,10,120000,20,0.9990000000000001,,50,1.0,0.9990000000000001,60000,0.001,3,20,0
Values,2018-11-18_18:56:06,./trained_networks/2018-11-18_18:56:06,1e-06,10,120000,20,0.9990000000000001,,100,1.0,0.9990000000000001,60000,0.001,4,20,0
Values,2018-11-18_17:50:49,./trained_networks/2018-11-18_17:50:49,1e-06,1,120000,20,0.9990000000000001,,50,0.01,0.9990000000000001,60000,0.001,4,20,0
Values,2018-11-18_18:07:00,./trained_networks/2018-11-18_18:07:00,1e-06,10,120000,20,0.9990000000000001,,100,1.0,0.9990000000000001,60000,0.001,4,20,0
Values,2018-11-18_11:39:20,./trained_networks/2018-11-18_11:39:20,1e-06,10,120000,20,0.9990000000000001,,50,0.1,0.9990000000000001,60000,0.001,3,20,0
Values,2018-11-18_18:53:53,./trained_networks/2018-11-18_18:53:53,1e-06,10,120000,20,0.9990000000000001,,100,1.0,0.9990000000000001,60000,0.001,4,20,0
Values,2018-11-18_16:16:28,./trained_networks/2018-11-18_16:16:28,1e-06,1,120000,20,0.9990000000000001,,50,0.0001,0.9990000000000001,60000,0.001,3,20,0
Values,2018-11-18_18:54:28,./trained_networks/2018-11-18_18:54:28,1e-06,10,120000,20,0.9990000000000001,,100,1.0,0.9990000000000001,60000,0.001,4,20,0
Values,2018-11-18_18:52:44,./trained_networks/2018-11-18_18:52:44,1e-06,10,120000,20,0.9990000000000001,,100,1.0,0.9990000000000001,60000,0.001,4,20,0
Values,2018-11-18_16:23:41,./trained_networks/2018-11-18_16:23:41,1e-06,1,120000,20,0.9990000000000001,,50,0.01,0.9990000000000001,60000,0.001,4,20,0
Values,2018-11-18_18:57:32,./trained_networks/2018-11-18_18:57:32,1e-06,10,120000,20,0.9990000000000001,,100,1.0,0.9990000000000001,60000,0.001,4,20,0
Values,2018-11-18_16:43:41,./trained_networks/2018-11-18_16:43:41,1e-06,1,120000,20,0.9990000000000001,,50,0.01,0.9990000000000001,60000,0.001,4,20,0
Values,2018-11-18_16:47:40,./trained_networks/2018-11-18_16:47:40,1e-06,1,120000,20,0.9990000000000001,,50,0.01,0.9990000000000001,60000,0.001,4,20,0
Values,2018-11-18_09:00:02,./trained_networks/2018-11-18_09:00:02,0.0001,10,120000,20,,0.9990000000000001,100,0.0001,0.9990000000000001,60000,0.001,3,10,0
